type,name,address,email
Театр,Teatr Ludowy - Scena Pod Ratuszem,"Rynek Podgórski 1, 30-533 Kraków",teatr@ludowy.pl
Театр,Teatr Praska 52,"ul. Praska 52, 30-322 Kraków",teatr@praska52.pl
Кінотеатр,Kino Sfinks,"os. Górali 5, 31-959 Kraków",sfinks@kinosfinks.pl
Кінотеатр,Kino Agrafka,"ul. Krowoderska 8, 31-142 Kraków",agrafka@kinoagrafka.pl
Бібліотека,Biblioteka Kraków - Filia 21,"ul. Krzemionki 1, 30-525 Kraków",filia21@biblioteka.krakow.pl
Бібліотека,Biblioteka Kraków - Filia 22,"ul. Powroźnicza 2, 30-307 Kraków",filia22@biblioteka.krakow.pl
Спортивний комплекс,KS Nadwiślan,"ul. Koletek 20, 30-069 Kraków",biuro@ksnadwislan.pl
Спортивний комплекс,KS Płaszowianka,"ul. Stróża Rybna 19, 30-710 Kraków",kontakt@plaszowianka.pl
Музей,Muzeum Inżynierii Miejskiej,"ul. Św. Wawrzyńca 15, 31-060 Kraków",muzeum@mimk.com.pl
Церква,Kościół św. Kingi,"ul. Siemomysła 37, 30-865 Kraków",parafia@swkinga.pl
Культурний центр,Nowohuckie Centrum Kultury,"al. Jana Pawła II 232, 31-913 Kraków",sekretariat@nck.krakow.pl
Культурний центр,Dworek Białoprądnicki,"ul. Papiernicza 2, 31-221 Kraków",sekretariat@dworek.eu
Ринок,Hala Targowa Unitarg,"ul. Grzegórzecka 3, 31-532 Kraków",biuro@unitarg.pl
